stateid,ccode,country,electionid,year,mmdd,types,notes,nelda1,nelda1notes,nelda2,nelda2notes,nelda3,nelda3notes,nelda4,nelda4notes,nelda5,nelda5notes,nelda6,nelda6notes,nelda7,nelda7notes,nelda8,nelda8notes,nelda9,nelda9notes,nelda10,nelda10notes,nelda11,nelda11notes,nelda12,nelda12notes,nelda13,nelda13notes,nelda14,nelda14notes,nelda15,nelda15notes,nelda16,nelda16notes,nelda17,nelda17notes,nelda18,nelda18notes,nelda19,nelda19notes,nelda20,nelda20notes,nelda21,nelda21notes,nelda22,nelda22notes,nelda23,nelda23notes,nelda24,nelda24notes,nelda25,nelda25notes,nelda26,nelda26notes,nelda27,nelda27notes,nelda28,nelda28notes,nelda29,nelda29notes,nelda30,nelda30notes,nelda31,nelda31notes,nelda32,nelda32notes,nelda33,nelda33notes,nelda34,nelda34notes,nelda35,nelda35notes,nelda36,nelda36notes,nelda37,nelda37notes,nelda38,nelda38notes,nelda39,nelda39notes,nelda40,nelda40notes,nelda41,nelda41notes,nelda42,nelda42notes,nelda43,nelda43notes,nelda44,nelda44notes,nelda45,nelda45notes,nelda46,nelda46notes,nelda47,nelda47notes,nelda48,nelda48notes,nelda49,nelda49notes,nelda50,nelda50notes,nelda51,nelda51notes,nelda52,nelda52notes,nelda53,nelda53notes,nelda54,nelda54notes,nelda55,nelda55notes,nelda56,nelda56notes,nelda57,nelda57notes,nelda58,nelda58notes
ECU,130,Ecuador,130-1966-1016-A1,1966,1016,Constituent Assembly,"Although Arosema is widely regarded as having ascended to the presidency as a result of this election, NELDA codes this election differently--following its rules. The members of the Constituent Assembly were elected directly by popular vote, and the election is coded as such. Arosema, however, was elected by members of the constituent assembly and not by popular vote. As such, this is not a presidential election, and the incumbent does not change as a result of this election. This election was a move away from junta dictatorship and bolstered Western confidence in ecuador's government and economy. The Conservative Party won over 34% of the vote, with the Radical Liberal Party winning 20% of the vote. ",no,"Regular elections were not suspended, but these elections were not regular ",no,,yes,,yes,,yes,,N/A,These elections were not regular; the election of a Constituent Assembly to reform the constitution had not occurred in recent Ecuador history.  ,N/A,,N/A,,N/A,,no,,no,,N/A,,no,,no,,no,,no,,no,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,yes,,yes,,no,,N/A,,no,,N/A,,N/A,,no,,yes,,no,no such results exist ,N/A,,N/A,,N/A,,N/A,,no,,N/A,,N/A,,N/A,,Yerovi,,Yerovi,,no,,N/A,,N/A,,no,,no,,yes,,no,,yes,,yes,,"US, UN",,no,,yes,,no,,no,
ECU,130,Ecuador,130-1968-0602-L1,1968,602,Legislative/Parliamentary,,yes,"this election, under a new constitution passed in 1967, represented a return to democracy after years of a military junta",no,,yes,,yes,,yes,,N/A,,no,,no,,no,,yes,,no,,no,,no,,no,,no,,no,,no,,yes,"Ecuador was experiencing the worst draught in a century, causing an economic crisis as the country was largely agricultural",yes,Ecuador received aid from the US,no,,N/A,,N/A,,N/A,,N/A,,no,,N/A,,yes,"though Velasco Ibarra, the winner of the presidential election, did not win a majority in either house, it would seem that this election was a gain for his party, and a loss for Arosemena's CID party",N/A,,no,,N/A,,N/A,,no,,yes,"Though during the election itself there was very little violence, with only one man was killed, in the lead up to the election at least 7 were killed and more than 60 injured in election related violence",no,,N/A,,N/A,,N/A,,N/A,,N/A,Arosemena Gomez was replaced by Velasco Ibarra in the presidential election that occurred at the same time,N/A,,N/A,,N/A,,Arosemena Gomez,,Velasco Ibarra,,no,,N/A,,N/A,,no,,no,,yes,"Though Ecuador had quite strained relations with the US at this point, including at one point sending the US ambassador home, and anti-American outbursts were relatively common,  Velasco Ibarra did say he would work for better relations with the US.",no,,yes,,yes,"Despite tensions, the US was at this time Ecuador's most important Western diplomatic relationship.  Between 1950 and 1988, the US gave Ecuador $123 million in military aid, and had training programs for Ecuadoran officers",US,,no,,yes,,no,,no,
ECU,130,Ecuador,130-1968-0602-P1,1968,602,Executive,,yes,,no,,yes,,yes,,yes,,N/A,These were the first direct national elections since 1960 because Ibarra was ousted by the military one year after his presidency in 1960.,yes,,yes,"The military, mainly under Castro Jijon, rules the country until 1968.",no,,yes,,unclear,,N/A,"The military calls for civilian elections in 1968, and Ibarra is re-elected again.",no,,no,,unclear,,unclear,,no,,no,,yes,,yes,,no,,no,,N/A,,yes,The country returned to civilian rule.,no,,N/A,,yes,,no,,unclear,,N/A,,N/A,,no,,unclear,,no,,N/A,,N/A,,N/A,,N/A,,yes,,yes,,no,,no,,Arosemena Gomez,,Velasco Ibarra,,no,,N/A,,N/A,,N/A,,N/A,,yes,,no,,no,,yes,,us,,no,,no,,no,,no,
ECU,130,Ecuador,130-1978-0716-P1,1978,716,Executive,,yes,,no,,yes,,yes,,yes,,N/A,late due to the military transitional government,yes,,yes,,no,,yes,,no,,N/A,,no,,no,,unclear,,no,,yes,,no,"Between 1970 and 1979, GDP grew at an annual rate of 7.5%, thanks largely to the growth of the oil sector.",yes,,yes,,no,,no,,N/A,,no,The government called for second round of elections because there were rumors that the candidate who had won the first round was involved in a murder connected to the election. The second round was scheduled to be delayed three weeks.,no,,N/A,,yes,,no,But there were reports critical of a certain candidate's handling of the election.,no,,N/A,,N/A,,no,,unclear,,yes,,no,,no,,yes,,yes,,no,"Following months of delay and allegations that the poll results had been fraudulent, Aguilera was confirmed on Dec. 8 as the winner of the first round. However, second round elections were called for.",N/A,,N/A,,N/A,But second round was going to take place.,Poveda Burbano,,Poveda Burbano,,no,,N/A,,N/A,,unclear,,unclear,,yes,,no,,no,,yes,,"us, imf, oas, world bank",,no,,no,,no,,no,
ECU,130,Ecuador,130-1978-0716-P2,1979,429,Executive,The second round elections took place much later than they were at  expected due to difficulties in drawing up lists of candidates for congressional elections to take place at the same time.,no,,no,,yes,,yes,"However, the electoral tribunal withdrew recogntiion from the Radical Alfarista Front, as well as two parties supported Ballen. The final round of the elections on April 29 would onvolve only Roldos and Ballen.",yes,"In the second round, however, only Roldos Aguileras and Ballen were to run.",no,These were second round elections. The government decided to postpone the elections for three weeks to have congressional voting on same day.,yes,,yes,,yes,,yes,"The military took power in 1972 before a referendum in 1978, approving a return to democratic elections and civilian rule in 1979.",unclear,,no,"The incumbent was from the military government, which was not running in the civilian elections.",yes,It was previously decided that only two of the candidates from the first round would be running in the second round.,no,,no,,unclear,,yes,"Between 1970 and 1979, GDP grew at an annual rate of 7.5%, thanks largely to the growth of the oil sector.",no,,yes,,yes,,no,,no,,N/A,,yes,,no,,N/A,,yes,,no,,no,,N/A,,N/A,,no,,unclear,,no,,N/A,,N/A,,N/A,,N/A,,yes,,yes,,no,,no,,Poveda Burbano,,Roldos Aquileras,,no,,N/A,,N/A,,no,,no,,yes,,no,,no,,yes,,"us, imr, world bank, oas",,no,,no,,no,,no,
ECU,130,Ecuador,130-1979-0429-L1,1979,429,Legislative/Parliamentary,,yes,"previous elections had been held in 1968, and after the dissolution of parliament in 1970 by Velasco Ibarra, elections wer not held until 1979.  In the interim period, Velasco Ibarra had been overthrown by the military in 1972, which led to a m",no,,yes,,yes,,yes,,N/A,"not only had elections been suspended before, but the election itself had been delayed because the military was trying to arrange the outcome so that Roldos Aquilers did not win the concurrent second round of the presidential election",yes,,no,,no,,no,,yes,"the military was still involved in the elections, and many suspected them of vote rigging, at least for the presidential elections",no,,no,,no,,yes,there was some evidence of government harassment,yes,the military attempted to run a media smear campaign without success against the opposition,yes,"at this point, Ecuador was profiting from its oil wealth, and the economy was doing well, though economic growth had its downsides, especially noticeable as foreign debt grew",no,,no,,no,,N/A,,N/A,,N/A,,N/A,,no,"Although there were no specific polls the first round of the presidential election gave an indication that the CFP (Concentration of Popular Forces) would do well, as well as the ID (Democratic Left), which became the two largest parties",N/A,,yes,"the CFP, who was opposed to the military and whom the military did not want to do well won 30 of the 69 seats (and the presidency)",N/A,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Poveda Burbano,,Roldos Aquilers,"Roldos Aquilers came to power in the presidential election, and was a member of the CFP, the largest block in the parliament",no,,N/A,,N/A,,no,,no,,yes,,no,,yes,The Carter administration had been pushing for elecitons,yes,"The US was Ecuador's most important Western diplomatic relationship.  Between 1950 and 1988, the US gave Ecuador $123 million in military aid, and had training programs for Ecuadoran officers",US,,no,,yes,,yes,"The military delayed the second round of the presidential elections and the legislative elections due to what they called fraud, and even threatened to call off the elections. In response, the US State Department issued a statement threatening to cut off aid.",no,
ECU,130,Ecuador,130-1984-0129-L1,1984,129,Legislative/Parliamentary,,no,,no,,yes,,yes,,yes,,no,,no,,no,,no,,no,,no,,no,"Roldos Aquilers, the former president and member of the CFP had been killed in a plane crash in 1981, and the austerity program instituted by his successor, although approved by the international community, did not find favor in Ecuador.",no,,no,,no,,no,,no,,no,"Hurtado Larrea had faced an economic crisis in 1982 and 1983 when he took over as the constitutional successor to Roldos Aquilers, as petroleum prices went down, internal oil consumption rose and reserves also went down, thus reducing oil exports",yes,"due to the economic problems, the IMF had granted Ecuador more than $100 million in financial aid",no,,N/A,,N/A,,N/A,,N/A,,no,,N/A,,yes,"the ID (democratic left) did much better in this election than it had in the previous, going from 15 seats in the 69 seat house to 24",N/A,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Hurtado Larrea,,Febres Cordaro,,no,,N/A,,N/A,,no,,no,,yes,,no,,yes,Febres Cordaro particularly identified with the US,yes,,US,,no,,no,,no,,no,
ECU,130,Ecuador,130-1984-0129-P1,1984,129,Executive,,no,,no,,yes,,yes,,yes,,no,,yes,,yes,,no,,no,,no,,yes,,no,,no,,no,,no,,no,,no,,yes,,yes,,no,,no,,N/A,,no,,no,,N/A,,yes,,no,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,no,A second ballot between the two leading contenders was scheduled because none of the nine presidential candidates succeeded in gaining an absolute majority in the election.,N/A,,N/A,,N/A,,Hurtado Larrea,,Hurtado Larrea,,no,,N/A,,N/A,,no,,no,,yes,,no,,no,,yes,,"imf, us",,no,,no,,no,,no,
ECU,130,Ecuador,130-1984-0129-P2,1984,506,Executive,Second round of elections between two leading contenders because none of the nine presidential candidates won an absolute majority in the first round,no,,no,,yes,,yes,,yes,,no,second round of elections,yes,,yes,,no,,no,,unclear,,N/A,,yes,only the two leading contenders from the first round were allowed to compete,no,,unclear,,no,,no,,no,,yes,,yes,,no,,no,,N/A,,N/A,,no,,N/A,,yes,,no,,no,,N/A,,N/A,,no,,unclear,,no,,N/A,,N/A,,N/A,,N/A,,yes,,yes,,no,,no,,Hurtado Larrea,,Febres Cordaro,,no,,N/A,,N/A,,unclear,,unclear,,yes,,no,,no,,yes,,"imf, us",,no,,no,,no,,no,
ECU,130,Ecuador,130-1986-0601-L1,1986,601,Legislative/Parliamentary,In mid-term congressional elections held on June 1 the parties opposed to President Febres gained a clear majority in the 71-member unicameral National Congress,no,,no,,yes,,yes,,yes,,no,,N/A,,N/A,,N/A,,no,,yes,,yes,,no,,no,,no,,no,,no,,no,,yes,,no,,N/A,,N/A,,N/A,,yes,,no,,N/A,,yes,,no,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,no,,N/A,,N/A,,N/A,,Febres Cordaro,,Febres Cordaro,,yes,,yes,,no,,no,,no,,yes,,no,,yes,,yes,,"usa, un, oas, peru",,no,,yes,,no,,no,
ECU,130,Ecuador,130-1988-0131-L1,1988,131,Legislative/Parliamentary,,no,,no,,yes,,yes,,yes,,no,,no,,no,,no,,no,,no,,yes,,no,,no,,no,,yes,Febres Cordaro was known for manipulating the media and infringing on press freedom,no,"Due in particular to low oil prices and earthquake damage from 1987, Ecuador's economy was doing badly",no,,yes,"Due to a struggling economy, Ecuador received more than 600 million in loans from the World Bank, and 250 million from the IMF",no,,N/A,,N/A,,N/A,,N/A,,no,,N/A,,no,,N/A,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,N/A,Febres Cordaro was replaced in the concurrent presidential elections,N/A,,N/A,,N/A,,Febres Cordaro,,Borja Cevallos,,no,,N/A,,N/A,,no,,no,,yes,,no,"Borja Cevallos was less pro-US than Febres Cordaro and diversified Ecuador's foreign relations, as well as using membership in OPEC to have greater autonomy, however, the US and Ecuador remained on good terms",no,,yes,"At this point, Ecuador's relationship with the World Bank and IMF was very important due to the state of the economy.  The World Bank gave Ecuador more than 600 million US dollars in loans",World Bank,,no,,no,,no,,no,
ECU,130,Ecuador,130-1988-0131-P1,1988,131,Executive,,no,,no,,yes,,yes,,yes,,no,,yes,,yes,,no,,no,,no,,yes,,no,,no,,no,,unclear,,no,,no,,yes,,yes,,no,,yes,,no,Nobody assumed power because second round elections were called.,no,"none of the candidates won an absolute majority of the votes, so second round was called between the top two candidates.",yes,,yes,,yes,,no,,no,,N/A,,N/A,,no,,unclear,,no,,N/A,,N/A,,N/A,,N/A,,no,,N/A,,N/A,,N/A,,Febres Cordaro,,Febres Cordaro,,no,,N/A,,N/A,,no,,no,,yes,,no,,no,,yes,,"imf, us",,no,,no,,no,,no,
ECU,130,Ecuador,130-1988-0131-P2,1988,508,Executive,Second round elections between top two contesters from the first round (run-off),no,,no,,yes,,yes,,yes,,no,,yes,,yes,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,yes,,yes,,no,,yes,,no,,yes,,yes,,yes,,yes,,no,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,yes,,yes,,no,,no,,Febres Cordaro,,Borja Cevallos,,no,,N/A,,N/A,,no,,no,,yes,,no,,no,,yes,,"imf, us",,no,,no,,no,,no,
ECU,130,Ecuador,130-1990-0617-L1,1990,617,Legislative/Parliamentary,,no,,no,,yes,,yes,,yes,,no,,N/A,,N/A,,N/A,,no,,no,,yes,,no,,no,,no,,no,Ecuador ostensibly supports a free media,no,,no,,yes,"It receives aid from the US, but it is unclear whether it is a recipient of large sums",no,,N/A,,N/A,,N/A,,yes,,no,,N/A,,yes,"The ruling Social Democrat party suffered heavy loses, while other parties gained seats.",no,,N/A,,no,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,no,,N/A,,N/A,,N/A,,Borja Cevallos,,Borja Cevallos,,no,,N/A,,N/A,,no,,no,,yes,,no,,no,,yes,,"us, un, oas",,no,,no,,no,,no,
ECU,130,Ecuador,130-1992-0517-L1,1992,517,Legislative/Parliamentary,,no,,no,,yes,,yes,,yes,,no,,N/A,,N/A,,N/A,,no,,no,,yes,,no,,no,,no,,no,Though Ecuador has a free media,yes,,no,,yes,,no,,N/A,,N/A,,N/A,,N/A,,no,,N/A,,yes,,no,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Borja Cevallos,,Duran Ballen,,no,,N/A,,N/A,,no,,no,,yes,,no,,no,,yes,,N/A,,no,,no,,no,,no,
ECU,130,Ecuador,130-1992-0517-P1,1992,517,Executive,,no,,no,,yes,,yes,,yes,,no,,no,,no,,no,,no,,no,,yes,,no,,no,,no,,no,Though Ecuador has a free media,yes,,no,,yes,,yes,,no,,yes,,no,Successor came fourth in first round elections,yes,,no,,N/A,,N/A,,no,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,yes,,yes,,no,,no,,Borja Cevallos,,Duran Ballen,,no,,N/A,,N/A,,no,,no,,yes,,no,,no,,yes,,N/A,,no,,no,,no,,no,
ECU,130,Ecuador,130-1992-0517-P2,1992,705,Executive,Runoff second round election in the 1992  Ecuadorian presidential election,no,,no,,yes,,yes,,yes,,no,,no,,no,,no,,no,,no,,yes,,no,,no,,no,,no,Though Ecuador has a free media,yes,,no,,yes,,yes,,no,,yes,,no,Successor didn't make it to second-round elections,yes,,no,,N/A,,N/A,,N/A,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,yes,,yes,,no,,no,,Borja Cevallos,,Duran Ballen,,no,,N/A,,N/A,,no,,no,,yes,,no,,no,,yes,,N/A,,no,,no,,no,,no,
ECU,130,Ecuador,130-1994-0501-L1,1994,501,Legislative/Parliamentary,,no,,no,,yes,,yes,,yes,,no,,N/A,,N/A,,N/A,,no,,unclear,,unclear,,no,,no,,no,,no,"Ecuador does, however, have a free press.",yes,,no,,unclear,"Ecuador does receive aid, whether it is a large recipient is unclear",no,,N/A,,N/A,,N/A,,N/A,,unclear,,N/A,,yes,,no,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,no,,N/A,,N/A,,N/A,,Duran Ballen,,Duran Ballen,,unclear,,N/A,,N/A,,N/A,,N/A,,yes,,no,,no,,yes,,"un, eu, oas",,no,,no,,no,,no,
ECU,130,Ecuador,130-1996-0519-L1,1996,519,Legislative/Parliamentary,,no,,no,,yes,,yes,,yes,,no,,N/A,,N/A,,N/A,,no,,no,,no,,no,,no,,no,,no,"Ecuador does, however, possess a free media",no,,yes,,unclear,,no,,N/A,,N/A,,N/A,,N/A,,yes,,no,,no,,no,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Duran Ballen,,Bucaram Ortiz,,unclear,,N/A,,N/A,,N/A,,N/A,,yes,,no,,no,,yes,,"un, eu, oas",,no,,no,,no,,no,
ECU,130,Ecuador,130-1996-0519-P1,1996,519,Executive,,no,,no,,yes,,yes,,yes,,no,,unclear,,no,,no,,no,,no,,no,,no,,no,,no,,no,"Ecuador does, however, possess a free media",no,,yes,,unclear,,yes,,unclear,,N/A,,N/A,,yes,,yes,,no,,unclear,,no,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,yes,,yes,,no,,no,,Duran Ballen,,Bucaram Ortiz,,unclear,,N/A,,N/A,,N/A,,N/A,,yes,,no,,no,,yes,,"un, eu, oas",,no,,no,,no,,no,
ECU,130,Ecuador,130-1996-0519-P2,1996,707,Executive,Runoff second round of voting in the presidential election,no,,no,,yes,,yes,,yes,,no,,unclear,,no,,no,,no,,no,,no,,no,,no,,no,,no,"Ecuador does, however, possess a free media",no,,yes,,unclear,,yes,,unclear,,N/A,,N/A,,yes,,yes,,no,,unclear,,no,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,yes,,yes,,no,,no,,Duran Ballen,,Bucaram Ortiz,,unclear,,N/A,,N/A,,N/A,,N/A,,yes,,no,,no,,yes,,"un, eu, oas",,no,,no,,no,,no,
ECU,130,Ecuador,130-1997-1130-A1,1997,1130,Constituent Assembly,,no,,no,,yes,,yes,,yes,,yes,"The regular elections were set for 1998, but this was a special Constituent Assembly set for 1997",N/A,,N/A,,N/A,,no,,no,,N/A,,no,,no,,no,,no,,no,,no,,yes,,no,,N/A,,N/A,,N/A,,N/A,,unclear,,N/A,,N/A,,no,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,no,,N/A,,N/A,,N/A,,Alarcon Fabian,,Alarcon Fabian,,unclear,,N/A,,N/A,,N/A,,N/A,,yes,,no,,no,,yes,,"un, eu, oas",,no,,no,,no,,no,
ECU,130,Ecuador,130-1998-0531-L1,1998,531,Legislative/Parliamentary,,no,,no,,yes,,yes,,yes,,no,,N/A,,N/A,,N/A,,yes,The previous president was removed from office after being deemed mentally incapacitated,no,,unclear,,no,,no,,no,,no,Ecuador does have free media,no,,yes,,yes,,no,,N/A,,N/A,,N/A,,yes,,unclear,,N/A,,yes,,no,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Alarcon Fabian,,Mahuad,,unclear,,N/A,,N/A,,N/A,,N/A,,yes,,no,,no,,yes,,"un, eu, oas",,no,,no,,no,,no,
ECU,130,Ecuador,130-1998-0531-P1,1998,531,Executive,,no,,no,,yes,,yes,,yes,,yes,"These elections were supposed to take place in 2000. However, since the president was deemed mentally incapacitated, the interim president called for elections in 1998",no,,no,,no,,yes,The previous president was removed from office after being deemed mentally incapacitated,no,,unclear,,no,,no,,no,,no,Ecuador does have free media,no,,yes,,yes,,yes,,yes,,N/A,,no,,yes,,unclear,,N/A,,N/A,,no,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,yes,,yes,,no,,no,,Alarcon Fabian,,Mahuad,,unclear,,N/A,,N/A,,N/A,,N/A,,yes,,no,,no,,yes,,"un, eu, oas",,no,,no,,no,,no,
ECU,130,Ecuador,130-1998-0531-P2,1998,712,Executive,Runoff second round of voting in the presidential election,no,,no,,yes,,yes,,yes,,yes,"These elections were supposed to take place in 2000. However, since the president was deemed mentally incapacitated, the interim president called for elections in 1998",no,,no,,no,,yes,The previous president was removed from office after being deemed mentally incapacitated,no,,unclear,,no,,no,,no,,no,Ecuador does have free media,no,,yes,,yes,,yes,,yes,,N/A,,no,,yes,,unclear,,N/A,,N/A,,no,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,yes,,yes,,no,,no,,Alarcon Fabian,,Mahuad,,unclear,,N/A,,N/A,,N/A,,N/A,,yes,,no,,no,,yes,,"un, eu, oas",,no,,no,,no,,no,
ECU,130,Ecuador,130-2002-1020-L1,2002,1020,Legislative/Parliamentary,,yes,,no,,yes,,yes,,yes,,N/A,"There was a coup in 2000. As such, elections that were supposed to happen in 2000 did not happen until 2002",N/A,,N/A,,N/A,,no,,unclear,,unclear,,no,Although two parties were prevented from competing: one for failing to get the required number of signatures and the other for having certain questionable details regarding their list of signatures.,no,,no,,no,Ecuador does have free media,no,,yes,,yes,,no,,N/A,President ran in concurrent presidential election,N/A,,no,,yes,,unclear,,N/A,,unclear,,no,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,N/A,"Leader did change, but due to concurrent presidential elections, not legislative",N/A,,N/A,,N/A,,Gustavo Noboa,,Lucio Gutierrez,,unclear,,N/A,,N/A,,N/A,,N/A,,yes,,no,,no,,yes,,"un, eu, oas",,no,,no,,no,,no,
ECU,130,Ecuador,130-2002-1020-P1,2002,1020,Executive,,yes,"After a military coup in 2000, elections were suspended until 2002.",no,,yes,,yes,,yes,,N/A,"There was a coup in 2000. As such, elections that were supposed to happen in 2000 did not happen until 2002",no,,no,,no,,no,,unclear,,unclear,,no,Although two parties were prevented from competing: one for failing to get the required number of signatures and the other for having certain questionable details regarding their list of signatures.,no,,no,,no,Ecuador does have free media,no,,yes,,yes,,yes,,yes,,N/A,,no,,yes,,unclear,,N/A,,N/A,,no,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,yes,,yes,,no,,no,,Gustavo Noboa,,Lucio Gutierrez,,unclear,,N/A,,N/A,,N/A,,N/A,,yes,,no,,no,,yes,,"un, eu, oas",,no,,no,,no,,no,
ECU,130,Ecuador,130-2002-1020-P2,2002,1124,Executive,Runoff second round of voting in the presidential election,yes,"After a military coup in 2000, elections were suspended until 2002.",no,,yes,,yes,,yes,,N/A,"There was a coup in 2000. As such, elections that were supposed to happen in 2000 did not happen until 2002",no,,no,,no,,no,,unclear,,unclear,,no,Although two parties were prevented from competing: one for failing to get the required number of signatures and the other for having certain questionable details regarding their list of signatures.,no,,no,,no,Ecuador does have free media,no,,yes,,yes,,yes,,yes,,N/A,,no,,yes,,unclear,,N/A,,N/A,,no,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,yes,,yes,,no,,no,,Gustavo Noboa,,Lucio Gutierrez,,unclear,,N/A,,N/A,,N/A,,N/A,,yes,,no,,no,,yes,,"un, eu, oas",,no,,no,,no,,no,
ECU,130,Ecuador,130-2006-1015-L1,2006,1015,Legislative/Parliamentary,,no,,no,,yes,,yes,,yes,,no,,N/A,,N/A,,N/A,,no,,no,OAS observer mission concludes that elections are generally fair and free,no,,no,,no,,no,,no,,no,"high rates of poverty, misallocated oil funds, privitization attempts",no,,yes,esp US aid,no,,N/A,,N/A,,N/A,,yes,lost to PRIAN 21 to 27.,no,,N/A,,yes,"PRIAN won 27 seats, PSP (the incumbent party) also gained seats to 21, ID/RED party won 13 seats",no,allegations of fraud in presidential race.,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,palacio,,rafael correa,,yes,OAS election observers,yes,,no,,no,,no,,yes,,no,,no,,yes,,"usa, oas","aid, poltical connections�OAS provided election observers.",no,,no,,no,,no,
ECU,130,Ecuador,130-2006-1015-P1,2006,1015,Executive,,no,,no,,yes,,yes,,yes,,no,,yes,"news reports did not say Palacio wanted to leave, however, he did not run for the presidency",no,,no,,no,,no,OAS observer mission concludes that elections are generally fair and free,no,,no,,no,,no,,no,,no,"70% poverty rates, mismanagement of natural resource revenue and botched attempts at liberalisation",no,,yes,US aid alone was 26 million,yes,,no,,no,,N/A,,yes,"Although Palacio is not running, Palacio's party is not in the majority anymore. Noboa's PRIAN party wins 27 seats, the most.",no,,N/A,,yes,,yes,"Correa's party alledges fraud in this 1st round, but OAS observers don�t find any evidence.",no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,yes,,yes,,no,,no,,alfredo palacio,this is the 1st round of elections.,alfredo palacio,,yes,,yes,delegates from the OAS include international observers,no,,no,,no,,yes,,no,,no,,yes,,"usa, oas","aid, poltical connections�OAS provided election observers.",no,,no,,no,,no,
ECU,130,Ecuador,130-2006-1015-P2,2006,1126,Executive,2nd round of voting. 1st round inconclusive,no,,no,,yes,,yes,,yes,,no,,yes,"news reports did not say Palacio wanted to leave, however, he did not run for the presidency",no,,no,,no,,no,OAS observer mission concludes that elections are generally fair and free,no,,no,,no,,no,,no,,no,"70% poverty rates, mismanagement of natural resource revenue and botched attempts at liberalisation",no,,yes,US aid alone was 26 million,yes,,no,,no,,N/A,,yes,"Although Palacio is not running, Palacio's party is not in the majority anymore. Noboa's PRIAN party wins 27 seats, the most.",yes,favorable for Correa,no,,yes,,no,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,yes,,yes,,no,,no,,alfredo palacio,,rafael correa,,yes,,yes,delegates from the OAS include international observers,no,,no,,no,,yes,,no,,no,,yes,,"usa, oas","aid, poltical connections�OAS provided election observers.",no,,no,,no,,no,
ECU,130,Ecuador,130-2007-0930-A1,2007,930,Constituent Assembly,"The PAIS coalition, of which President Correa is a member, won a landslide victory of nearly 70% of the vote following the referendum calling for a constituent assembly to draft a new constitution.",no,,no,,yes,,yes,,yes,,N/A,This was a special election for a Constituent Assembly based on a referendum by the voters.,N/A,,N/A,,N/A,,no,,no,,no,,no,,no,,no,,yes,,no,,no,,yes,,no,,N/A,,N/A,,N/A,,no,,yes,,yes,,yes,The PAIS alliance had won just one seat in the previous legislative election before winning a large majority here.,no,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Correa,,Correa,,yes,,yes,Carter Center,no,,no,,no,,yes,,no,,no,,yes,,"UN, OAS",,no,,no,,no,,no,
